module,doctype,fieldname,label,fieldtype,pg_type,options,reqd,unique,index,read_only,default,fetch_from
Accounts,Advance Payment Ledger Entry,exchange_rate,Exchange Rate,Float,"numeric(21,9)",,0,0,0,1,,
Accounts,Advance Taxes and Charges,charge_type,Type,Select,varchar(140),Actual|On Paid Amount|On Previous Row Amount|On Previous Row Total,1,0,0,0,,
Accounts,Advance Taxes and Charges,row_id,Reference Row #,Data,varchar(140),,0,0,0,0,,
Accounts,Advance Taxes and Charges,account_head,Account Head,Link,varchar(140),Account,1,0,1,0,,
Accounts,Advance Taxes and Charges,description,Description,Small Text,text,,1,0,0,0,,
Accounts,Advance Taxes and Charges,cost_center,Cost Center,Link,varchar(140),Cost Center,0,0,0,0,:Company,
Accounts,Advance Taxes and Charges,project,Project,Link,varchar(140),Project,0,0,0,0,,
Accounts,Advance Taxes and Charges,rate,Tax Rate,Float,"numeric(21,9)",,0,0,0,0,,
Accounts,Advance Taxes and Charges,tax_amount,Amount,Currency,"numeric(21,9)",currency,0,0,0,0,,
Accounts,Advance Taxes and Charges,total,Total,Currency,"numeric(21,9)",currency,0,0,0,1,,
Accounts,Advance Taxes and Charges,base_tax_amount,Amount (Company Currency),Currency,"numeric(21,9)",Company:company:default_currency,0,0,0,1,,
Accounts,Advance Taxes and Charges,base_total,Total (Company Currency),Currency,"numeric(21,9)",Company:company:default_currency,0,0,0,1,,
Accounts,Advance Taxes and Charges,add_deduct_tax,Add Or Deduct,Select,varchar(140),Add|Deduct,1,0,0,0,,
Accounts,Advance Taxes and Charges,included_in_paid_amount,Considered In Paid Amount,Check,smallint,,0,0,0,0,0,
Accounts,Advance Taxes and Charges,currency,Account Currency,Link,varchar(140),Currency,0,0,0,1,,account_head.account_currency
Accounts,Advance Taxes and Charges,net_amount,Net Amount,Currency,"numeric(21,9)",currency,0,0,0,1,,
Accounts,Advance Taxes and Charges,base_net_amount,Net Amount (Company Currency),Currency,"numeric(21,9)",Company:company:default_currency,0,0,0,1,,
Accounts,Advance Taxes and Charges,set_by_item_tax_template,Set by Item Tax Template,Check,smallint,,0,0,0,1,0,
Accounts,Advance Taxes and Charges,is_tax_withholding_account,Is Tax Withholding Account,Check,smallint,,0,0,0,1,0,
Accounts,Allowed Dimension,accounting_dimension,Accounting Dimension,Link,varchar(140),DocType,0,0,0,1,,
Accounts,Allowed Dimension,dimension_value,,Dynamic Link,varchar(140),accounting_dimension,0,0,0,0,,
Accounts,Allowed To Transact With,company,Company,Link,varchar(140),Company,1,0,0,0,,
Accounts,Applicable On Account,applicable_on_account,Accounts,Link,varchar(140),Account,1,0,0,0,,
